group,condition,overlap_percent,pair_count,mean_cosine_distance,std_cosine_distance,min_cosine_distance,max_cosine_distance
close_at_100,overlap_000,0,30,0.7534154110898574,0.12575199532804462,0.4927023649215698,0.9995030276477337
close_at_100,overlap_025,25,30,0.7093084067727129,0.14057452017567085,0.3943539261817932,0.9793877210468054
close_at_100,overlap_050,50,30,0.6400686204433441,0.11932253335076123,0.38166964054107666,0.9465914517641068
close_at_100,overlap_075,75,30,0.6993439510464668,0.17041873146889844,0.37979453802108765,1.086279772222042
close_at_100,overlap_100,100,30,0.31832797328631085,0.016836298338307513,0.2712116241455078,0.3412975072860718
random_true,overlap_000,0,30,0.7638089204827945,0.13963356935238885,0.5140232443809509,1.1371198892593384
random_true,overlap_025,25,30,0.7568054164449374,0.1480926355551197,0.4402564764022827,1.059730563312769
random_true,overlap_050,50,30,0.6913416152199109,0.129787165589723,0.48211395740509033,0.9354129880666733
random_true,overlap_075,75,30,0.6444512630812824,0.14406229810358245,0.42953068017959595,0.9969595232978463
random_true,overlap_100,100,30,0.5004466076691946,0.09858287945435001,0.36417698860168457,0.7412817478179932
far_at_100,overlap_000,0,30,0.8526662416756153,0.12167199150136757,0.6309380829334259,1.0508116744458675
far_at_100,overlap_025,25,30,0.7727290925569832,0.13145165828605648,0.48640507459640503,1.0085178967565298
far_at_100,overlap_050,50,30,0.7362867998580138,0.16373718751842276,0.48733586072921753,1.1382250636816025
far_at_100,overlap_075,75,30,0.6786084733903408,0.12774352780026849,0.4240334630012512,0.8815118446946144
far_at_100,overlap_100,100,30,0.8529126121352116,0.05920555629730983,0.7948272675275803,1.04659603536129
